hname,shcode,expcode,etfchk,filler,gubun
대신 인버스 2X 코스닥 150 선물 ETN,510027,KRG510000273,0,,1
대신 S&P 인버스 2X 천연가스 선물 ETN,510029,KRG510000299,0,,1
대신 국채10년 ETN,510033,KRG510000331,0,,1
대신 인버스 국채10년 ETN,510034,KRG510000349,0,,1
대신 3X 레버리지 국채10년 ETN,510035,KRG510000356,0,,1
대신 인버스 3X 국채10년 ETN,510036,KRG510000364,0,,1
대신 S&P 2X 천연가스 선물 ETN B,510037,KRG510000372,0,,1
대신 인버스 2X 철광석 선물 ETN(H),510038,KRG510000380,0,,1
대신 3X 레버리지 국채30년 ETN,510039,KRG510000398,0,,1
대신 인버스 3X 국채30년 ETN,510040,KRG510000406,0,,1
미래에셋 레버리지 원유선물혼합 ETN(H),520009,KRG522100095,0,,1
미래에셋 원유선물혼합 ETN(H),520010,KRG522100103,0,,1
미래에셋 인버스 원유선물혼합 ETN(H),520011,KRG522100111,0,,1
미래에셋 코스피 양매도 5% OTM ETN,520026,KRG521800265,0,,1
미래에셋 레버리지 은 선물 ETN,520033,KRG520000339,0,,1
미래에셋 인버스 2X 은 선물 ETN,520034,KRG520000347,0,,1
미래에셋 코스피200 선물 ETN,520037,KRG520000370,0,,1
미래에셋 인버스 코스피200 선물 ETN,520038,KRG520000388,0,,1
미래에셋 코스닥150 선물 ETN,520039,KRG520000396,0,,1
미래에셋 인버스 코스닥150 선물 ETN,520040,KRG520000404,0,,1
미래에셋 S&P 유럽탄소배출권 선물 ETN,520043,KRG520000438,0,,1
미래에셋 레버리지 옥수수 선물 ETN,520046,KRG520000461,0,,1
미래에셋 인버스 2X 옥수수 선물 ETN,520047,KRG520000479,0,,1
미래에셋 인버스 2X 원유선물혼합 ETN(H),520050,KRG520000503,0,,1
미래에셋 천연가스 선물 ETN(H),520052,KRG520000529,0,,1
미래에셋 인버스 천연가스 선물 ETN(H),520053,KRG520000537,0,,1
미래에셋 레버리지 코스피200 선물 ETN,520054,KRG520000545,0,,1
미래에셋 인버스 2X 코스피200 선물 ETN,520055,KRG520000552,0,,1
미래에셋 레버리지 코스닥150 선물 ETN,520056,KRG520000560,0,,1
미래에셋 인버스 2X 코스닥150 선물 ETN,520057,KRG520000578,0,,1
미래에셋 S&P -2X 천연가스 선물 ETN(H),520059,KRG520000594,0,,1
미래에셋 FnGuide 부산엑스포 추가수익 ETN,520060,KRG520000602,0,,1
미래에셋 인도네시아 Top5 ETN,520061,KRG520000610,0,,1
미래에셋 인도네시아 금속&에너지 Top5 ETN,520062,KRG520000628,0,,1
미래에셋 -0.5X S&P500 VIX S/T선물 ETN(H),520063,KRG520000636,0,,1
미래에셋 2X 미국채울트라30년 선물 ETN,520064,KRG520000644,0,,1
미래에셋 -2X 미국채울트라30년 선물 ETN,520065,KRG520000651,0,,1
미래에셋 KRX금현물 Auto-KO-C 2810-01 ETN,520066,KRG520000669,0,,1
미래에셋 홍콩H 선물 ETN(H),520067,KRG520000677,0,,1
미래에셋 2X 홍콩H 선물 ETN,520068,KRG520000685,0,,1
미래에셋 -2X 홍콩H 선물 ETN(H),520069,KRG520000693,0,,1
삼성 인버스 China A50 선물 ETN(H),530002,KRG536100024,0,,1
삼성 China A50 선물 ETN(H),530014,KRG536100149,0,,1
삼성 미국 대형 성장주 ETN(H),530015,KRG532100150,0,,1
삼성 미국 대형 가치주 ETN(H),530016,KRG532100168,0,,1
삼성 미국 대형 성장주 ETN,530019,KRG532100192,0,,1
삼성 미국 대형 가치주 ETN,530020,KRG532100200,0,,1
삼성 레버리지 China A50 선물 ETN(H),530023,KRG536100230,0,,1
삼성 레버리지 WTI원유 선물 ETN,530031,KRG532400311,0,,1
삼성 인버스 2X WTI원유 선물 ETN,530036,KRG532400360,0,,1
삼성 레버리지 금 선물 ETN(H),530055,KRG532400550,0,,1
삼성 인버스 2X 금 선물 ETN(H),530056,KRG532400568,0,,1
삼성 코스피 양매도 5% OTM ETN,530060,KRG531800602,0,,1
삼성 레버리지 은 선물 ETN(H),530061,KRG532400618,0,,1
삼성 인버스 2X 은 선물 ETN(H),530062,KRG532400626,0,,1
삼성 레버리지 구리 선물 ETN(H),530063,KRG532400634,0,,1
삼성 인버스 2X 구리 선물 ETN(H),530064,KRG532400642,0,,1
